lesion_name,dataset_id,dataset_name,p,r,tp,fp,fn,volume,pred_volume
ULSDL3D_000526_03_01_053_lesion_01.nii.gz,5,ct+seg+2box,0.897,0.871,434,50,64,498.0,484
ULSDL3D_000526_03_01_053_lesion_01.nii.gz,6,ct+seg+mask,0.92,0.763,380,33,118,498.0,413
ULSDL3D_000526_03_01_053_lesion_01.nii.gz,7,ct+seg+2mask,0.914,0.936,466,44,32,498.0,510
ULSDL3D_000543_06_01_010_lesion_01.nii.gz,1,ct,0.305,0.538,164,374,141,305.0,538
ULSDL3D_000543_06_01_010_lesion_01.nii.gz,2,ct+seg,0.379,0.77,235,385,70,305.0,620
ULSDL3D_000543_06_01_010_lesion_01.nii.gz,3,ct+seg+box,0.921,0.646,197,17,108,305.0,214
ULSDL3D_000543_06_01_010_lesion_01.nii.gz,5,ct+seg+2box,0.831,0.803,245,50,60,305.0,295
ULSDL3D_000543_06_01_010_lesion_01.nii.gz,6,ct+seg+mask,0.941,0.679,207,13,98,305.0,220
ULSDL3D_000543_06_01_010_lesion_01.nii.gz,7,ct+seg+2mask,0.899,0.813,248,28,57,305.0,276
ULSDL3D_000578_02_01_059_lesion_01.nii.gz,1,ct,0.0,0.0,0,1635,12358,12358.0,1635
ULSDL3D_000578_02_01_059_lesion_01.nii.gz,2,ct+seg,0.268,0.058,714,1952,11644,12358.0,2666
ULSDL3D_000578_02_01_059_lesion_01.nii.gz,3,ct+seg+box,0.695,0.909,11238,4929,1120,12358.0,16167
ULSDL3D_000578_02_01_059_lesion_01.nii.gz,5,ct+seg+2box,0.824,0.857,10592,2270,1766,12358.0,12862
ULSDL3D_000578_02_01_059_lesion_01.nii.gz,6,ct+seg+mask,0.702,0.946,11695,4974,663,12358.0,16669
